,img_no,site_url,page_url,src,alt,model_alts,approved_alt
2830,5321,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/forensic-mysteries-pathologies-human-femora,https://ids.si.edu/ids/deliveryService?id=ark:/65665/m3ccd36a0a13e6433dae47fe7eeec57fa6&max=310&,,['a long bone is shown next to a ruler'],
2831,5322,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/forensic-mysteries-pathologies-human-femora,https://ids.si.edu/ids/deliveryService?id=ark:/65665/m3023eaea84033423f81e8fdf1cad7cd81&max=310&,,['a large bone with a long handle on a white background'],
2832,5323,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/forensic-mysteries-pathologies-human-femora,https://ids.si.edu/ids/deliveryService?id=ark:/65665/m3b58ecbbba3f94941b46c0af06613d3a6&max=310&,,['an image of a bone on a white background'],
2833,5324,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/forensic-mysteries-pathologies-human-femora,https://ids.si.edu/ids/deliveryService?id=ark:/65665/m3e5b8f53701934a6aa781b901b31bbeed&max=310&,,['a long bone is shown on a white background'],
2834,5325,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/forensic-mysteries-pathologies-human-femora,https://ids.si.edu/ids/deliveryService?id=ark:/65665/m321c644351be5475487392f644c5b10c0&max=310&,,['an image of a bone that has been broken in half'],
2835,5326,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/forensic-mysteries-pathologies-human-femora,https://ids.si.edu/ids/deliveryService?id=ark:/65665/m3bbfcc907192f407a85ce73d1fa0d6e82&max=310&,,['an image of a long bone on a white background'],
2836,5329,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/candace-greene,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/greenganthro_1.jpg.webp?itok=sN2Kk_bp,"Portrait of Candace Greene, Anthropology",['a woman with glasses and a red sweater smiling'],
2837,5334,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies/forensic-anthropology,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/18an828-leavy-neck-1-skeleton-wtih-artifact-72dpi.jpg.webp?itok=H5i4mZm7,Looking down at a beige skeleton of a boy that is partially excavated in a pit in the ground.,['an image of a skeleton lying on the ground'],
2838,5335,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies/forensic-anthropology,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/wibtraining-next-generationr.jpg.webp?itok=mtA4CUs3,Smithsonian forensic anthropologist points out area of interest in a piece of bone to students.,['a group of people looking at a box of bones'],
2839,5336,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies/forensic-anthropology,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/181003sciencehowkaribruwelheidevideostillnmnh.jpg.webp?itok=x-tnsYyG,Forensic anthropologist Kari Bruwelheide holds a human bone while talking with Maggy Benson during a Science How webcast.,['two women talking to each other on a television set'],
2840,5337,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies/forensic-anthropology,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/jane1-teachingresources-516x342.png.webp?itok=DOxsBpsj,Broken clay pot and human bones -- a partial cranium and jaw with teeth -- in the ground with a trowel for scale.,['a shovel is sitting on top of a pile of pottery'],
2841,5343,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/paleobiology/research/pyenson-lab,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/fig3b33.png.webp?itok=ipRURBW0,An image of a fossil rorqual whale,['an aerial view of a dinosaur skeleton in the sand'],
2842,5344,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/paleobiology/research/pyenson-lab,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/dugong-rib-6.jpg.webp?itok=8nzIxe1T,dugong rib,['a man holding two pieces of bone in front of the ocean'],
2843,5345,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/paleobiology/research/pyenson-lab,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/humpback-breachmssresize.jpg.webp?itok=L45nfold,Humpback whale,['a humpback whale is jumping out of the water'],
2844,5348,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/about/historical-expeditions,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/nicollet-hydrographic-basin-map.jpg.webp?itok=v89Bjiot,Historical Expeditions ,['an old map of the united states'],
2845,5406,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/paleontology/information-about-fossil-family-day-trilobite-model,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/nmnh-usnmpal00558598-trilobite-edited-cm-1200x1000.jpg.webp?itok=QEiGfZRe,"A brown, oval-shaped trilobite fossil specimen embedded in a piece of rock. It has two eyes near the front of its body.",['a fossil fish on a rock with a ruler next to it'],
2846,5407,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/paleontology/information-about-fossil-family-day-trilobite-model,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/trilobite-tag-1-450x450.jpg.webp?itok=Z32dfdA9,A gray 3-D model print of a trilobite fossil with a yellow tag tied to it. The tag identifies the specimen in the model.,"['national museum of natural history, nmnh, new york city, new york, ny, usa']",
2847,5410,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/affiliated-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/ccre.jpg.webp?itok=SS0UArJ0,Carrie Bow Cay Field Station,['an underwater view of a tropical island'],
2848,5411,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/affiliated-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/marinegeologo.jpg.webp?itok=h14HhGWj,MarineGEO Logo,['the logo for the national oceanic and atmospheric administration'],
2849,5412,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/affiliated-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/loscayitos-153-2.jpg.webp?itok=wK5cBE02,A fisherman casting a net from a small boat on the ocean. ,['a man in a boat with a fish in the water'],
2850,5415,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/mangrove1sms.jpg.webp?itok=HaPfJPwM,a channel of water flows beneath a tangle of overhanging trees,['mangrove trees line the banks of a river in the jungle'],
2851,5416,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/sms-johnson1.jpg.webp?itok=RrqCzjfW,tropical trees border bright aquamarine water with shallow reefs below,['the clear waters of a tropical island are surrounded by lush vegetation'],
2852,5427,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news,https://naturalhistory.si.edu/sites/default/files/media/image/fwrismsms0small.jpg,Florida Fish and Wildlife Conservation Commission logo,['the florida fish and wildlife conservation commission logo'],
2853,5429,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/ggi-spring-campaign,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/ggi_0.jpg.webp?itok=4q2Kfs7k,GGI Sampling 2018,['a group of people working on a boat in the water'],
2854,5430,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/ggi-spring-campaign,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/ggisamples.jpg.webp?itok=m_dtgEbY,GGI Samples,['a bowl filled with seaweed and other sea creatures'],
2855,5432,https://naturalhistory.si.edu,https://naturalhistory.si.edu/join-us/memberships/family-membership,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/t-rex-banner.jpg.webp?itok=DJ4BiMbt,a drawing of a T. Rex with a skeleton shadow,"[""a child's drawing of a t - rex on a yellow background""]",
2856,5433,https://naturalhistory.si.edu,https://naturalhistory.si.edu/join-us/memberships/family-membership,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/dino-anatomy-web.png.webp?itok=YIAWH2cp,A Tyrannosaurus rex model with unscientific descriptions of its anatomy. ,['the anatomy of a t - rex'],
2857,5435,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/temps-rise-seagrass-meadows-face-uncertain-future,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/campbellseagrass.jpg.webp?itok=2wS8i7z6,Campbell Surveying Seagrass,['a person scuba diving in the ocean with a net'],
2858,5437,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/5th-annual-irl-science-festival-fun-tap,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/irl-science-fair-logo.jpg.webp?itok=LNf7DqSf,Event Calendar,['the irl science festival logo on a blue background'],
2859,5441,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/sms-news-archive-2018/mesoamerican-coral-reef-mend,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/roatan.jpg.webp?itok=rnUfqcHr,Healthy Reefs Roatan,['a coral reef with many different types of corals and sponges'],
2860,5443,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/intern-robotics-team-earns-berth-international-contest,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/mateteam.jpg.webp?itok=C_EhZ9Cb,SMS MATE Team 2018,['a group of young men and women posing for a photo in front of a tennis court'],
2861,5444,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/intern-robotics-team-earns-berth-international-contest,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/2018-rov_0.jpg.webp?itok=rNi8q9y3,SMS MATE 2018 ROV,['a robot in the water with wires attached to it'],
2862,5449,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/mineral-sciences/collections-overview/collection-highlights,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/78-8853a2319x1506.jpg.webp?itok=pgjX9PW8,A blue diamond necklace on a blue background,['blue sapphire and diamond necklace'],
2863,5450,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/mineral-sciences/collections-overview/collection-highlights,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/10246110.jpg.webp?itok=NVyxp98a,Fluorite gems,['various colored gemstones are arranged on a white surface'],
2864,5454,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/msc-opl,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/necropsy.jpg.webp?itok=hWNOOlAE,The OPL's necropsy lab space,['a large room with lots of equipment in it'],
2865,5455,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/msc-opl,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/mg0187.jpg.webp?itok=Z37rksYL,A photograph of dermestid insects amongst cardboard boxes holding animal remains,['several wooden boxes filled with ants sitting on top of each other'],
2866,5456,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/msc-opl,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/bug-chambers-dermestid-beetles.jpg.webp?itok=HTy7X0qR,Bones lining the walls of one of the dermestid beetle chambers at OPL,['several photos of the inside of a storage room'],
2867,5457,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/msc-opl,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/122.jpg.webp?itok=OGkoMp1x,Multiple Bones in the process of being cleaned line a cart.,['a room with lots of animal skeletons on shelves'],
2868,5458,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/msc-opl,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/cy-freezers.jpg.webp?itok=KzfRnz9z,OPLs two outside freezers,['a group of stainless steel containers sitting on top of each other'],
2869,5460,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/karen-golinski,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/golinski.jpg.webp?itok=FtDS3wj1,Karen Golinski,['a woman smiling at the camera while standing on the beach'],
2870,5463,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/news-and-highlights/rafael-lemaitre,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/rafa-japanese-scientists.png.webp?itok=LVgnbjFC,Rafael Lemaitre in the lab with colleagues,['a group of people sitting at a table in a lab'],
2871,5464,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/news-and-highlights/rafael-lemaitre,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/p-confusa.png.webp?itok=n8h5A_Vr,A small hermit crab,['a red and white crab on the bottom of the ocean'],
2872,5465,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/news-and-highlights/rafael-lemaitre,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/happy-retirement-1.jpg.webp?itok=-1cnNgqb,Rafael Lemaitre and Darryl Felder,['two older men standing next to each other in an office'],
2873,5468,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/news-and-highlights,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/caitlin-and-patrick-outreach.jpg.webp?itok=1P1NZWPS,A woman and a man in a crayfish costume posing behind a public outreach display at the Natural History Museum,['a woman in a lobster costume stands next to a table'],
2874,5469,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/news-and-highlights,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/iz1965.jpg.webp?itok=KlYo-Gqk,A group of people posing on a set of stairs,['a black and white photo of a group of men and women in suits and ties'],
2875,5470,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/news-and-highlights,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/sea-cortez-octopus.jpg.webp?itok=agPerWBu,Scans from a book including photographs of an octopus,['an octopus is shown in two different positions on a plate'],
2876,5476,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/news-and-highlights,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/pawson.jpg.webp?itok=-RfdRlOD,Dave Pawson,['an older man sitting in a boat on the ocean'],
2877,5478,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/fossil-leaf-insect-damage-margin-feeding.jpeg.webp?itok=vAB6mbKk,Brown leaf with pieces missing on the sides,['an image of a leaf with brown spots on it'],
2878,5479,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/fossil-flower-eocene.jpeg.webp?itok=fXxRGGC6,Black fossil flower with six petals.,['a black and white photo of a flower on a rock'],
2879,5480,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://collections.nmnh.si.edu/media/?irn=14124426&thumb=yes,,['a piece of wood with an image of a horse on it'],
2880,5481,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://collections.nmnh.si.edu/media/?irn=14124429&thumb=yes,,['a piece of wood is shown next to a ruler'],
2881,5482,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://collections.nmnh.si.edu/media/?irn=14124433&thumb=yes,,['a piece of wood with a checkered pattern on it'],
2882,5489,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://ids.si.edu/ids/deliveryService?id=https://collections.nmnh.si.edu/media/?irn=14124426&max=310&,,['a piece of wood with a red circle on it'],
2883,5490,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://ids.si.edu/ids/deliveryService?id=https://collections.nmnh.si.edu/media/?irn=14124416&max=310&,,['a piece of rock with a red arrow on it'],
2884,5491,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://ids.si.edu/ids/deliveryService?id=https://collections.nmnh.si.edu/media/?irn=14124837&max=310&,,['a piece of rock with an arrow pointing to it'],
2885,5492,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/fossil-leaves-evidence-insect-damage,https://ids.si.edu/ids/deliveryService?id=https://collections.nmnh.si.edu/media/?irn=14124395&max=310&,,['a piece of rock with an arrow pointing to it'],
2886,5494,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/alexander-white,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/alexanderwhite.jpg.webp?itok=OLpieF6J,Alexander White,['a man with a beard and glasses standing in the street'],
2887,5496,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/joel-nitta,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/joelnitta.jpg.webp?itok=WJIvYUF1,Joel Nitta,['a smiling young man with a backpack on his back'],
2888,5498,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/manuela-dal-forno,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/manueladalforno.jpg.webp?itok=jSprk6EF,Manuela Dal Forno,['a woman in a purple jacket holding a branch with moss on it'],
2889,5500,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/kathryn-picard,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/kathrynpicard.jpg.webp?itok=xazUhuqy,Kathryn Picard,['a woman wearing a polka dot shirt and a necklace'],
2890,5502,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/marcos-caraballo-ortiz,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/marcos-caraballo_0.jpg.webp?itok=yLrLfUT1,Marcos A. Caraballo-Ortiz,['a man in a blue shirt and glasses standing next to a pile of wood'],
2891,5505,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/st-lawrence-island.jpg.webp?itok=pbv8oyc6,St Lawrence Island Consultation,['a group of people looking at items in a box'],
2892,5507,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/5-storytellers-adjusted-05262022.jpg.webp?itok=VJDL55zL,five vertical frames of individuals in nature ,['a collage of photos of people on a boat'],
2893,5508,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/circle_teaser/public/media/image/bradon-without-background.png.webp?itok=oIZvfeQz,African American man with orange hair holding a peace sign with fingers and a sign that says nature is the pillar of the community,['a man sitting on a bench with a sign that says nature is for everyone'],
2894,5509,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/1935141202426f9cbbfe9o-withcredits.jpg.webp?itok=dSYdRRHs,a sign that reads habitat in a bed of flowers green and yellow,['a pollinator garden in the front yard of a home'],
2895,5510,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/screen-shot-2022-05-26-74349-am.png.webp?itok=0U93xUb9,"young girl holding a blue sign that reads ""when Im in nature I feel at home""","[""a young woman holding up a sign that says when i'm in nature i feel at home""]",
2896,5511,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/aghnest-wsda-104-credits-2.jpg.webp?itok=srV2xjzg,brown honeycomb shape nest with white eggs ,['a close up of a wasp nest with white eggs inside'],
2897,5512,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/visual/public/media/image/wen-dsc0016-peru-main-1edit.jpg.webp?itok=OtellSHU,woman in green surrounded by green plans,['an asian woman holding a plant in the forest'],
2898,5513,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/visual/public/media/image/screen-shot-2022-07-07-111730-am.png.webp?itok=dKewwIgv,person wearing yellow jacket blue jeans in a green garden with someone else holding orange small pumpkin,['a man and woman in a field picking tomatoes'],
2899,5514,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/card/public/media/image/nhb2017-000221.jpg.webp?itok=RA3rllUS,A fossilized T. rex biting a triceratops,['the skeleton of a dinosaur is on display in front of a black background'],
2900,5515,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/our-places,https://naturalhistory.si.edu/sites/default/files/styles/card/public/media/image/santoceanhall.jpg.webp?itok=KAr-ATOk,a right whale hangs in the ocean hall,['a whale with its mouth open in a museum'],
2901,5517,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/barro-colorado-island-100-years-discoveries-and-wonder,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/bci100heroe040.jpg.webp?itok=2uYYEaza,two sloths holding on a tree together with green leaves in back,['a brown sloth hanging from a tree branch'],
2902,5518,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/barro-colorado-island-100-years-discoveries-and-wonder,https://naturalhistory.si.edu/sites/default/files/styles/circle_teaser/public/media/image/bci100cutout05leafcutterant.png.webp?itok=f_aGfEI0,Two brown Ants and one green leaf,['two ants on a leaf with a green leaf in the background'],
2903,5519,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/barro-colorado-island-100-years-discoveries-and-wonder,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/bci100cutout03jaguartracks.png.webp?itok=21mdqxHb,4 black paw prints,['a black background with several paw prints'],
2904,5520,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/barro-colorado-island-100-years-discoveries-and-wonder,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/bci100cutout01agoutiseeds.png.webp?itok=gnQdVc5i,an aquoti eating a seed,['a small rodent eating an orange in front of a black background'],
2905,5521,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/barro-colorado-island-100-years-discoveries-and-wonder,https://naturalhistory.si.edu/sites/default/files/styles/card/public/media/image/lapislazuli2.jpg.webp?itok=WLDwa7iZ,a large piece of blue lapis lazuli,['lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis'],
2906,5522,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/barro-colorado-island-100-years-discoveries-and-wonder,https://naturalhistory.si.edu/sites/default/files/styles/card/public/media/image/leopard.jpg.webp?itok=7isFcv52,cheetah on branch with other animal,['a leopard resting on a tree branch next to a deer'],
2907,5524,https://naturalhistory.si.edu,https://naturalhistory.si.edu/initiatives/global-genome-initiative,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/ncbioblitz-2luna-moth.jpg.webp?itok=3E-5bN2M,Luna Moth,['a person holding a green butterfly in their hand'],
2908,5527,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/nmnh-2022-012270.jpg.webp?itok=h1OseRJm,eight cellphone cases with various artwork on them,['several cell phone cases with different designs on them'],
2909,5528,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/circle_teaser/public/media/image/nmnh-2022-01222.png.webp?itok=UWjfgFxb,painted image of two people holding a phone taking a selfie in colorful garments with dog at bottom,['an illustration of an indian couple taking a selfie'],
2910,5529,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/qriusmineralswithphonewithtitle.jpg.webp?itok=iTUmiVLX,a hand holding cellphone infant of an array of minerals,"[""a person's hand holding an iphone surrounded by rocks and minerals""]",
2911,5530,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/screen-shot-2022-10-19-62052-pm.png.webp?itok=RhaaOd40,image of 3 portraits of change makers ,['a collage of photos of people in different countries'],
2912,5531,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/screen-shot-2022-10-20-15732-pm_0.png.webp?itok=KXL1UkTJ,dynatac ,['an old flip phone on a white background'],
2913,5532,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/qclogofltrgbblupos1.jpg.webp?itok=5zUMvt94,blue writing says Qualcomm,"[""qualcomm to buy nokia's mobile phone business for $7bn""]",
2914,5533,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/t-mobilelogoprirgbon-w2022-03-14_0.png.webp?itok=cHWUsYlo,pink letters spelling t mobile,['the t-mobile logo on a black background'],
2915,5535,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits/cellphone-unseen-connections,https://naturalhistory.si.edu/sites/default/files/styles/card/public/media/image/78-7006.jpg.webp?itok=-liAeqMY,"four colorful (green, yellow, red, and pink) gems on black background ",['a group of different colored gems on a black background'],
2916,5537,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibit/nature-of-the-book,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/naturalhistorycc1v1cate0003crop.jpg.webp?itok=Ei6V2580,an array of colors in a painting,"['an abstract painting with wavy lines in red, yellow and blue']",
2917,5538,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibit/nature-of-the-book,https://naturalhistory.si.edu/sites/default/files/styles/circle_teaser/public/media/image/typecomposingsticknobkgd.png.webp?itok=a9UYhVwt,letters for nature of the book backwards on a print rod,['an image of a gun with a sign that says army of the dead'],
2918,5539,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibit/nature-of-the-book,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/18390880029505821001crop.jpg.webp?itok=6dPHKnp1,beetles above cactus,['a drawing of a cactus with insects on it'],
2919,5540,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibit/nature-of-the-book,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/screen-shot-2022-11-16-50108-pm.png.webp?itok=9W8kJ7zu,drawing Chinese people outside of a fort and some on horse,['an asian painting shows people riding horses in front of a fence'],
2920,5541,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibit/nature-of-the-book,https://naturalhistory.si.edu/sites/default/files/styles/gallery/public/media/image/9390880060568651001bcrop.jpg.webp?itok=-_aW-eWn,medieval writing on manuscript,['an old manuscript with writing on it'],
